congress,start_date,chamber,state_abbrev,party_code,bioname,bioguide_id,birthday,cmltv_cong,cmltv_chamber,age_days,age_years,generation,party_name
82,1951-01-03,House,ND,200,"Aandahl, Fred George",A000001,1897-04-09,1,1,19626,53.7330595482546,Lost,Republican Party
80,1947-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,1,1,14106,38.6201232032854,Greatest,Democratic Party
81,1949-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,2,2,14837,40.621492128679,Greatest,Democratic Party
82,1951-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,3,3,15567,42.6201232032854,Greatest,Democratic Party
83,1953-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,4,4,16298,44.621492128679,Greatest,Democratic Party
84,1955-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,5,5,17028,46.6201232032854,Greatest,Democratic Party
85,1957-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,6,6,17759,48.621492128679,Greatest,Democratic Party
86,1959-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,7,7,18489,50.6201232032854,Greatest,Democratic Party
87,1961-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,8,8,19220,52.621492128679,Greatest,Democratic Party
88,1963-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,9,9,19950,54.6201232032854,Greatest,Democratic Party
89,1965-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,10,10,20681,56.621492128679,Greatest,Democratic Party
90,1967-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,11,11,21411,58.6201232032854,Greatest,Democratic Party
91,1969-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,12,12,22142,60.621492128679,Greatest,Democratic Party
92,1971-01-03,House,VA,100,"Abbitt, Watkins Moorman",A000002,1908-05-21,13,13,22872,62.6201232032854,Greatest,Democratic Party
93,1973-01-03,House,SD,200,"Abdnor, James",A000009,1923-02-13,1,1,18222,49.8891170431211,Greatest,Republican Party
94,1975-01-03,House,SD,200,"Abdnor, James",A000009,1923-02-13,2,2,18952,51.8877481177276,Greatest,Republican Party
95,1977-01-03,House,SD,200,"Abdnor, James",A000009,1923-02-13,3,3,19683,53.8891170431211,Greatest,Republican Party
96,1979-01-03,House,SD,200,"Abdnor, James",A000009,1923-02-13,4,4,20413,55.8877481177276,Greatest,Republican Party
97,1981-01-03,Senate,SD,200,"Abdnor, James",A000009,1923-02-13,5,1,21144,57.8891170431211,Greatest,Republican Party
98,1983-01-03,Senate,SD,200,"Abdnor, James",A000009,1923-02-13,6,2,21874,59.8877481177276,Greatest,Republican Party
99,1985-01-03,Senate,SD,200,"Abdnor, James",A000009,1923-02-13,7,3,22605,61.8891170431211,Greatest,Republican Party
83,1953-01-03,Senate,NE,200,"Abel, Hazel Hempel",A000010,1888-07-10,1,1,23552,64.4818617385352,Lost,Republican Party
88,1963-01-03,House,OH,200,"Abele, Homer E.",A000011,1916-11-21,1,1,16844,46.1163586584531,Greatest,Republican Party
99,1985-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,1,1,16993,46.5242984257358,Silent,Democratic Party
102,1991-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,2,2,19184,52.5229295003422,Silent,Democratic Party
103,1993-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,3,3,19915,54.5242984257358,Silent,Democratic Party
104,1995-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,4,4,20645,56.5229295003422,Silent,Democratic Party
105,1997-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,5,5,21376,58.5242984257358,Silent,Democratic Party
106,1999-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,6,6,22106,60.5229295003422,Silent,Democratic Party
107,2001-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,7,7,22837,62.5242984257358,Silent,Democratic Party
108,2003-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,8,8,23567,64.5229295003422,Silent,Democratic Party
109,2005-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,9,9,24298,66.5242984257358,Silent,Democratic Party
110,2007-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,10,10,25028,68.5229295003422,Silent,Democratic Party
111,2009-01-03,House,HI,100,"Abercrombie, Neil",A000014,1938-06-26,11,11,25759,70.5242984257358,Silent,Democratic Party
67,1921-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,1,1,17882,48.9582477754962,Missionary,Democratic Party
68,1923-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,2,2,18612,50.9568788501027,Missionary,Democratic Party
69,1925-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,3,3,19343,52.9582477754962,Missionary,Democratic Party
70,1927-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,4,4,20073,54.9568788501027,Missionary,Democratic Party
71,1929-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,5,5,20804,56.9582477754962,Missionary,Democratic Party
72,1931-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,6,6,21534,58.9568788501027,Missionary,Democratic Party
73,1933-03-04,House,NC,100,"Abernethy, Charles Laban",A000015,1872-03-18,7,7,22265,60.9582477754962,Missionary,Democratic Party
78,1943-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,1,1,14477,39.6358658453114,Greatest,Democratic Party
79,1945-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,2,2,15208,41.637234770705,Greatest,Democratic Party
80,1947-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,3,3,15938,43.6358658453114,Greatest,Democratic Party
81,1949-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,4,4,16669,45.637234770705,Greatest,Democratic Party
82,1951-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,5,5,17399,47.6358658453114,Greatest,Democratic Party
83,1953-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,6,6,18130,49.637234770705,Greatest,Democratic Party
84,1955-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,7,7,18860,51.6358658453114,Greatest,Democratic Party
85,1957-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,8,8,19591,53.637234770705,Greatest,Democratic Party
86,1959-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,9,9,20321,55.6358658453114,Greatest,Democratic Party
87,1961-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,10,10,21052,57.637234770705,Greatest,Democratic Party
88,1963-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,11,11,21782,59.6358658453114,Greatest,Democratic Party
89,1965-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,12,12,22513,61.637234770705,Greatest,Democratic Party
90,1967-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,13,13,23243,63.6358658453114,Greatest,Democratic Party
91,1969-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,14,14,23974,65.637234770705,Greatest,Democratic Party
92,1971-01-03,House,MS,100,"Abernethy, Thomas Gerstle",A000016,1903-05-16,15,15,24704,67.6358658453114,Greatest,Democratic Party
